Date,total.attendance,First,Second,FirstServe24,SecondServe24
2013-03-09,625,187,438,NA,NA
2013-03-16,492,150,342,NA,NA
2013-03-23,504,142,362,NA,NA
2013-03-30,726,125,601,NA,NA
2013-04-06,810,220,590,NA,NA
2013-04-13,515,130,385,NA,NA
2013-04-20,452,128,324,NA,NA
2013-04-27,592,190,402,NA,NA
2013-05-04,614,170,444,NA,NA
2013-05-11,490,119,371,NA,NA
2013-05-18,593,179,414,NA,NA
2013-05-25,705,165,540,NA,NA
2013-06-01,937,132,805,NA,NA
2013-06-08,558,128,430,NA,NA
2013-06-15,458,172,286,NA,NA
2013-06-22,505,130,375,NA,NA
2013-06-29,565,193,372,NA,NA
2013-07-06,509,140,369,NA,NA
2013-07-13,495,155,340,NA,NA
2013-07-20,428,90,338,NA,NA
2013-07-27,454,134,320,NA,NA
2013-08-03,422,115,307,NA,NA
2013-08-10,558,135,423,NA,NA
2013-08-17,638,159,479,NA,NA
2013-08-24,652,162,490,NA,NA
2013-08-31,468,185,283,NA,NA
2013-09-07,574,213,361,NA,NA
2013-09-14,483,156,327,NA,NA
2013-09-21,590,173,417,NA,NA
2013-09-28,466,148,318,NA,NA
2013-10-05,613,157,456,NA,NA
2013-10-12,551,101,450,NA,NA
2013-10-19,549,132,417,NA,NA
2013-10-26,502,137,365,NA,NA
2013-11-02,512,146,366,NA,NA
2013-11-09,486,162,324,NA,NA
2013-11-16,922,325,597,NA,NA
2013-11-23,540,154,386,NA,NA
2013-11-30,624,152,472,NA,NA
2013-12-07,438,105,333,NA,NA
2013-12-14,438,112,326,NA,NA
2013-12-21,694,175,519,NA,NA
2013-12-28,523,198,325,NA,NA
2014-01-04,484,126,358,NA,NA
2014-01-11,499,134,365,NA,NA
2014-01-18,471,185,286,NA,NA
2014-01-25,358,108,250,NA,NA
2014-02-01,668,169,499,NA,NA
2014-02-08,519,131,388,NA,NA
2014-02-15,406,125,281,NA,NA
2014-02-22,477,153,324,NA,NA
2014-03-01,410,140,270,NA,NA
2014-03-08,489,162,327,NA,NA
2014-03-15,583,225,358,NA,NA
2014-03-22,548,165,383,NA,NA
2014-03-29,492,143,349,NA,NA
2014-04-05,753,178,575,NA,NA
2014-04-12,454,127,327,NA,NA
2014-04-19,662,180,482,NA,NA
2014-04-26,443,159,284,NA,NA
2014-05-03,461,191,270,NA,NA
2014-05-10,973,364,609,NA,NA
2014-05-17,536,187,349,NA,NA
2014-05-24,480,186,294,NA,NA
2014-05-31,784,182,602,NA,NA
2014-06-07,502,187,315,NA,NA
2014-06-14,456,140,316,NA,NA
2014-06-21,476,196,280,NA,NA
2014-06-28,356,124,232,NA,NA
2014-07-05,431,103,328,NA,NA
2014-07-12,532,189,343,NA,NA
2014-07-19,354,108,246,NA,NA
2014-07-26,395,150,245,NA,NA
2014-08-02,467,151,316,NA,NA
2014-08-09,509,154,355,NA,NA
2014-08-16,456,172,284,NA,NA
2014-08-23,512,195,317,NA,NA
2014-08-30,646,211,435,NA,NA
2014-09-06,542,206,336,NA,NA
2014-09-13,404,154,250,NA,NA
2014-09-20,401,169,232,NA,NA
2014-09-27,519,171,348,NA,NA
2014-10-04,481,153,328,NA,NA
2014-10-11,436,138,298,NA,NA
2014-10-18,490,183,307,NA,NA
2014-10-25,404,165,239,NA,NA
2014-11-01,462,170,292,NA,NA
2014-11-08,734,189,545,NA,NA
2014-11-15,482,180,302,NA,NA
2014-11-22,600,191,409,NA,NA
